Source,Target
962517114,14091091
962517114,34743251
962517114,11348282
962517114,19802879
962517114,22463639
962517114,29837898
962517114,"9,32898811625837E+017"
962517114,27112513
962517114,4065140123
962517114,48882155
962517114,758786754
962517114,91547938
962517114,1323386642
962517114,284739139
962517114,"8,5234497089171E+017"
962517114,"9,58146217464254E+017"
962517114,"7,70490229769789E+017"
962517114,16284661
962517114,"1,04557167322167E+018"
962517114,4579012758
962517114,1966139059
962517114,478691393
962517114,"1,00213182279115E+018"
962517114,90772788
962517114,1481010043
962517114,1581471108
962517114,14306062
962517114,20536157
962517114,2425151
962517114,813286
962517114,"9,53305718966366E+017"
962517114,2423532368
962517114,327779505
962517114,2956929964
962517114,84351228
962517114,2301963115
962517114,173620082
962517114,200278362
962517114,2589969746
962517114,"8,67387810499768E+017"
962517114,35790511
962517114,"7,72965397012292E+017"
962517114,"7,18910384158208E+017"
962517114,4889353644
962517114,786735373
962517114,2973453269
962517114,377534014
962517114,1606002860
962517114,593425336
962517114,49423975
962517114,9799222
962517114,17484680
962517114,27819813
962517114,34044894
962517114,"1,05309230850843E+018"
962517114,6820932
962517114,3586362494
962517114,1874533242
962517114,3740165716
962517114,"8,01425190605439E+017"
962517114,424099728
962517114,197509091
962517114,"1,05262513048301E+018"
962517114,74556831
962517114,632687052
962517114,23876446
962517114,18065266
962517114,937698624
962517114,811533451
962517114,63177215
962517114,4054128619
962517114,14706299
962517114,339362662
962517114,987957324
962517114,3595439354
962517114,"1,00403431268408E+018"
962517114,15287239
962517114,41445632
962517114,475056810
962517114,"9,53304055337669E+017"
962517114,441158276
962517114,"8,69153690174857E+017"
962517114,2838315649
962517114,79665081
962517114,40829038
962517114,156458409
962517114,41180531
962517114,19714897
962517114,159537844
962517114,6543162
962517114,210925142
962517114,137477017
962517114,123419776
962517114,18063358
962517114,52302477
962517114,571227090
962517114,21190955
962517114,90582735
962517114,88764795
962517114,123561696
962517114,1462306898
962517114,86358405
962517114,1615257752
962517114,416909756
962517114,40655158
962517114,52722878
962517114,40465511
962517114,29492103
962517114,18764992
962517114,50504510
962517114,36743294
962517114,801743
962517114,18726488
962517114,"8,37030181990765E+017"
962517114,"8,51566061573079E+017"
962517114,"7,27481332431884E+017"
962517114,843682712
962517114,707553372
962517114,"7,31328740396024E+017"
280477264,29584571
280477264,57843399
280477264,2863638184
280477264,61255762
280477264,14893620
280477264,103549232
280477264,16597587
280477264,46066476
280477264,14698489
280477264,204508114
280477264,6141402
280477264,12486322
280477264,709644992
280477264,2406644832
280477264,15005347
280477264,130090356
280477264,181853199
280477264,"1,14643797533889E+018"
280477264,23611315
280477264,104616026
280477264,1927923236
280477264,68186121
280477264,89034386
280477264,166617624
